image1,image2,text1,text2
images/ex_0_img_0.png,images/ex_0_img_1.png,an old person kisses a young person,a young person kisses an old person
images/ex_1_img_0.png,images/ex_1_img_1.png,the taller person hugs the shorter person,the shorter person hugs the taller person
images/ex_2_img_0.png,images/ex_2_img_1.png,the masked wrestler hits the unmasked wrestler,the unmasked wrestler hits the masked wrestler
images/ex_5_img_0.png,images/ex_5_img_1.png,a bird eats a snake,a snake eats a bird
images/ex_6_img_0.png,images/ex_6_img_1.png,"a plant was harmed by another organism, and that organism broke the plant into pieces","another organism was harmed by a plant, and that plant broke the organism into pieces"
images/ex_7_img_0.png,images/ex_7_img_1.png,a bottle is in water,water is in a bottle
images/ex_8_img_0.png,images/ex_8_img_1.png,a tree smashed into a car,a car smashed into a tree
images/ex_9_img_0.png,images/ex_9_img_1.png,people fall on the leaves,the leaves fall on people
images/ex_11_img_0.png,images/ex_11_img_1.png,there is a table below someone,there is someone below a table
images/ex_12_img_0.png,images/ex_12_img_1.png,the image shows a computer on top of books,the image shows books on top of a computer
images/ex_14_img_0.png,images/ex_14_img_1.png,there is a mug in some grass,there is some grass in a mug
images/ex_15_img_0.png,images/ex_15_img_1.png,there are more skiers than snowboarders,there are more snowboarders than skiers
images/ex_17_img_0.png,images/ex_17_img_1.png,there are more ladybugs than flowers,there are more flowers than ladybugs
images/ex_18_img_0.png,images/ex_18_img_1.png,there is less orange juice than milk,there is less milk than orange juice
images/ex_19_img_0.png,images/ex_19_img_1.png,there is more dirt than empty space in the jar,there is more empty space than dirt in the jar
images/ex_20_img_0.png,images/ex_20_img_1.png,there is a bit less milk chocolate than white chocolate,there is a bit less white chocolate than milk chocolate
images/ex_21_img_0.png,images/ex_21_img_1.png,a person sits and a dog stands,a person stands and a dog sits
images/ex_24_img_0.png,images/ex_24_img_1.png,the person closer to the camera weightlifts and the person farther from the camera runs,the person closer to the camera runs and the person farther from the camera weightlifts
images/ex_26_img_0.png,images/ex_26_img_1.png,the taller person chops food and the shorter person eats food,the taller person eats food and the shorter person chops food
images/ex_29_img_0.png,images/ex_29_img_1.png,a brown dog is on a white couch,a white dog is on a brown couch
images/ex_30_img_0.png,images/ex_30_img_1.png,a blue bird is next to a red berry,a red bird is next to a blue berry
images/ex_32_img_0.png,images/ex_32_img_1.png,astronauts in blue suits with a red planet in the background,astronauts in red suits with a blue planet in the background
